"ID";"LibraryName";"AdmArea";"District";"Address";"NumberOfAccessPoints";"WiFiName";"CoverageArea";"FunctionFlag";"AccessFlag";"Password";"Latitude_WGS84";"Longitude_WGS84";"global_id";"geoData";
"1";"Государственное бюджетное учреждение культуры города Москвы «Централизованная библиотечная система ВАО» Библиотека №77";"Восточный административный округ";"район Измайлово";"город Москва, 11-я Парковая улица, дом 21";"8";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.794517";"37.805159";"880036147";"{type=Point, coordinates=[37.805159, 55.794517]}";
"2";"Государственное бюджетное учреждение культуры города Москвы «Централизованная библиотечная система ЮВАО» Центральная детская библиотека №104";"Юго-Восточный административный округ";"Рязанский район";"город Москва, 1-я Новокузьминская улица, дом 16, корпус 2";"8";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.713588";"37.790040";"880036102";"{type=Point, coordinates=[37.79004, 55.713588]}";
"3";"Государственное бюджетное учреждение культуры города Москвы «Централизованная библиотечная система ЦАО» Библиотека №7 имени Антуана де СентЭкзюпери";"Центральный административный округ";"Красносельский район";"город Москва, 2-й Красносельский переулок, дом 2";"9";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.782253";"37.665093";"880036105";"{type=Point, coordinates=[37.665093, 55.782253]}";
"4";"Государственное бюджетное учреждение культуры города Москвы «Централизованная библиотечная система ЮАО» Библиотека №163";"Южный административный округ";"Даниловский район";"город Москва, 3-й Павловский переулок, дом 14";"6";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.718344";"37.630149";"880036108";"{type=Point, coordinates=[37.630149, 55.718344]}";
"5";"Государственное бюджетное учреждение культуры города Москвы «Централизованная библиотечная система ЮВАО» Детская библиотека №128 Культурный центр Михаила Александровича Шолохова";"Юго-Восточный административный округ";"район Текстильщики";"город Москва, 8-я улица Текстильщиков, дом 14";"6";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.701973";"37.746314";"880036110";"{type=Point, coordinates=[37.746314, 55.701973]}";
"6";"Государственное бюджетное учреждение культуры города Москвы «Централизованная библиотечная система ВАО» Библиотека №87";"Восточный административный округ";"район Соколиная Гора";"город Москва, 9-я улица Соколиной Горы, дом 17";"10";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.773160";"37.736006";"880036113";"{type=Point, coordinates=[37.736006, 55.77316]}";
"7";"Государственное бюджетное учреждение культуры города Москвы «Централизованная библиотечная система ЗАО» Библиотека №210 Культурный центр Алесандра Трифоновича Твардовского";"Западный административный округ";"район Фили-Давыдково";"город Москва, Аминьевское шоссе, дом 24";"6";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.715920";"37.452974";"880036115";"{type=Point, coordinates=[37.452974, 55.71592]}";
"8";"Государственное бюджетное учреждение культуры города Москвы «Централизованная библиотечная система ЦАО» Библиотека №20 имени Антона Антоновича Дельвига";"Центральный административный округ";"Басманный район";"город Москва, Аптекарский переулок, дом 8/2";"8";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.768115";"37.676244";"880036117";"{type=Point, coordinates=[37.676244, 55.768115]}";
"9";"Государственное бюджетное учреждение культуры города Москвы «Централизованная библиотечная система СВАО» Библиотека №67";"Северо-Восточный административный округ";"Останкинский район";"город Москва, Аргуновская улица, дом 14, строение 2";"6";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.818316";"37.620905";"880036121";"{type=Point, coordinates=[37.620905, 55.818316]}";
"10";"Государственное бюджетное учреждение культуры города Москвы «Централизованная библиотечная система ЮАО» Библиотека №148 имени Федора Ивановича Тютчева";"Южный административный округ";"Нагорный район";"город Москва, Артековская улица, дом 2, корпус 1";"9";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.650510";"37.612847";"880036123";"{type=Point, coordinates=[37.612847, 55.65051]}";
