"ID";"CinemaName";"AdmArea";"District";"Address";"NumberOfAccessPoints";"WiFiName";"CoverageArea";"FunctionFlag";"AccessFlag";"Password";"Latitude_WGS84";"Longitude_WGS84";"global_id";"geoData";
"1";"Государственное бюджетное учреждение культуры города Москвы Кинотеатр «Космос»";"Северо-Восточный административный округ";"Останкинский район";"город Москва, проспект Мира, дом 109";"7";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.818675";"37.636778";"879791944";"{type=Point, coordinates=[37.636778, 55.818675]}";
"2";"Государственное бюджетное учреждение культуры города Москвы Кинотеатр «Звезда»";"Центральный административный округ";"Басманный район";"город Москва, улица Земляной Вал, дом 18-22, строение 2";"4";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.759903";"37.657015";"879795206";"{type=Point, coordinates=[37.657015, 55.759903]}";
"3";"Государственное бюджетное учреждение культуры города Москвы Кинотеатр «Вымпел»";"Северо-Восточный административный округ";"Бабушкинский район";"город Москва, улица Коминтерна, дом 8";"5";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.861974";"37.676825";"879791951";"{type=Point, coordinates=[37.676825, 55.861974]}";
"4";"Государственное бюджетное учреждение культуры города Москвы Кинотеатр «Тула»";"Юго-Восточный административный округ";"район Печатники";"город Москва, улица Кухмистерова, дом 4";"8";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.685873";"37.718534";"879791953";"{type=Point, coordinates=[37.718534, 55.685873]}";
"5";"Государственное бюджетное учреждение культуры города Москвы Кинотеатр «Молодежный»";"Юго-Восточный административный округ";"район Текстильщики";"город Москва, Люблинская улица, дом 11";"6";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.710864";"37.731299";"879795207";"{type=Point, coordinates=[37.731299, 55.710864]}";
"6";"Государственное бюджетное учреждение культуры города Москвы Кинотеатр «Спутник»";"Юго-Восточный административный округ";"район Лефортово";"город Москва, Солдатская улица, дом 15";"4";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.764303";"37.705508";"879795208";"{type=Point, coordinates=[37.705508, 55.764303]}";
"7";"Государственное бюджетное учреждение культуры города Москвы Кинотеатр «Факел»";"Юго-Восточный административный округ";"район Лефортово";"город Москва, шоссе Энтузиастов, дом 15/16";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.751817";"37.716144";"879791961";"{type=Point, coordinates=[37.716144, 55.751817]}";
"8";"Государственное бюджетное учреждение культуры города Москвы Кинотеатр «Салют»";"Юго-Западный административный округ";"Академический район";"город Москва, улица Кедрова, дом 14, корпус 1";"3";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.682787";"37.571585";"879795209";"{type=Point, coordinates=[37.571585, 55.682787]}";
"9";"Государственное бюджетное учреждение культуры города Москвы Кинотеатр «Искра»";"Северный административный округ";"Тимирязевский район";"город Москва, улица Костякова, дом 10";"3";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.814406";"37.571210";"879791967";"{type=Point, coordinates=[37.57121, 55.814406]}";
"10";"Государственное бюджетное учреждение культуры города Москвы Кинотеатр «Березка»";"Восточный административный округ";"район Новогиреево";"город Москва, Мартеновская улица, дом 25";"6";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.749841";"37.802562";"879795211";"{type=Point, coordinates=[37.802562, 55.749841]}";
"11";"Государственное бюджетное учреждение культуры города Москвы Кинотеатр «Юность»";"Северо-Западный административный округ";"район Щукино";"город Москва, улица Маршала Рыбалко, дом 1";"3";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.795398";"37.495437";"879795212";"{type=Point, coordinates=[37.495437, 55.795398]}";
"12";"Государственное бюджетное учреждение культуры города Москвы Кинотеатр «Полет»";"Северо-Западный административный округ";"район Южное Тушино";"город Москва, Нелидовская улица, дом 10, строение 1";"2";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.846067";"37.442949";"879795213";"{type=Point, coordinates=[37.442949, 55.846067]}";
"13";"Государственное бюджетное учреждение культуры города Москвы Кинотеатр «Сатурн»";"Северо-Восточный административный округ";"район Свиблово";"город Москва, Снежная улица, дом 18";"5";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.851945";"37.647549";"879795214";"{type=Point, coordinates=[37.647549, 55.851945]}";
"14";"Государственное бюджетное учреждение культуры города Москвы Киноклуб музей «Эльдар»";"Юго-Западный административный округ";"Обручевский район";"город Москва, Ленинский проспект, дом 105";"5";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.665309";"37.513395";"894670950";"{type=Point, coordinates=[37.513395, 55.665309]}";
