"ID";"CulturalCenterName";"AdmArea";"District";"Address";"NumberOfAccessPoints";"WiFiName";"CoverageArea";"FunctionFlag";"AccessFlag";"Password";"Latitude_WGS84";"Longitude_WGS84";"global_id";"geoData";
"1";"Государственное бюджетное учреждение культуры города Москвы «Дом культуры «Зодчие»";"Западный административный округ";"район Кунцево";"город Москва, улица Боженко, дом 9";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.732291";"37.405202";"879812827";"{type=Point, coordinates=[37.405202, 55.732291]}";
"2";"Государственное бюджетное учреждение культуры города Москвы «Культурный центр «Рублево»";"Западный административный округ";"район Кунцево";"город Москва, Полоцкая улица, дом 16";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.734456";"37.425180";"879812830";"{type=Point, coordinates=[37.42518, 55.734456]}";
"3";"Государственное бюджетное учреждение культуры города Москвы «Культурный центр «Рублево»";"Западный административный округ";"район Кунцево";"город Москва, Партизанская улица, дом 35, корпус 1";"4";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.738546";"37.407663";"879812833";"{type=Point, coordinates=[37.407663, 55.738546]}";
"4";"Государственное бюджетное учреждение культуры города Москвы «Территориальная клубная система «Кунцево»";"Западный административный округ";"район Крылатское";"город Москва, Крылатская улица, дом 29, корпус 2";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.770056";"37.410879";"879812835";"{type=Point, coordinates=[37.410879, 55.770056]}";
"5";"Государственное бюджетное учреждение культуры города Москвы «Территориальная клубная система «Кунцево»";"Западный административный округ";"район Крылатское";"город Москва, Рублёвское шоссе, дом 36, корпус 2";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.749881";"37.418137";"879812839";"{type=Point, coordinates=[37.418137, 55.749881]}";
"6";"Государственное бюджетное учреждение культуры города Москвы «Центр культуры и досуга «Парк Новослободский»";"Центральный административный округ";"Тверской район";"город Москва, Новослободская улица, дом 58/12, строение 23";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.790909";"37.597010";"879895103";"{type=Point, coordinates=[37.59701, 55.790909]}";
"7";"Государственное бюджетное учреждение культуры города Москвы «Дом культуры «Аструм»";"Западный административный округ";"район Дорогомилово";"город Москва, улица Генерала Ермолова, дом 10/6";"4";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.739184";"37.515533";"879812843";"{type=Point, coordinates=[37.515533, 55.739184]}";
"8";"Государственное бюджетное учреждение культуры города Москвы «Дом культуры «Аструм»";"Западный административный округ";"район Дорогомилово";"город Москва, площадь Победы, дом 2, корпус 2";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.737507";"37.518371";"879812845";"{type=Point, coordinates=[37.518371, 55.737507]}";
"9";"Государственное бюджетное учреждение культуры города Москвы «Дом культуры «Гайдаровец»";"Центральный административный округ";"Басманный район";"город Москва, Большой Казённый переулок, дом 8, строение 2";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.759750";"37.655975";"879812846";"{type=Point, coordinates=[37.655975, 55.75975]}";
"10";"Государственное бюджетное учреждение культуры города Москвы «Клуб «Атом»";"Северо-Западный административный округ";"район Щукино";"город Москва, улица Маршала Бирюзова, дом 10, корпус 2";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.793060";"37.496309";"879812847";"{type=Point, coordinates=[37.496309, 55.79306]}";
"11";"Государственное бюджетное учреждение культуры города Москвы «Клуб «Современник»";"Северо-Западный административный округ";"район Строгино";"город Москва, улица Исаковского, дом 6, корпус 1";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.818169";"37.400962";"879895141";"{type=Point, coordinates=[37.400962, 55.818169]}";
"12";"Государственное бюджетное учреждение культуры города Москвы «Территориальная клубная система «Кунцево»";"Западный административный округ";"район Крылатское";"город Москва, улица Крылатские Холмы, дом 26, корпус 2";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.764151";"37.416601";"879895153";"{type=Point, coordinates=[37.416601, 55.764151]}";
"13";"Государственное бюджетное учреждение культуры города Москвы «Территориальная клубная система «Солнцево»";"Западный административный округ";"район Солнцево";"город Москва, улица Богданова, дом 54";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.648814";"37.392275";"879812882";"{type=Point, coordinates=[37.392275, 55.648814]}";
"14";"Государственное бюджетное учреждение культуры города Москвы «Территориальная клубная система «Солнцево»";"Западный административный округ";"район Солнцево";"город Москва, Солнцевский проспект, дом 5";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.651349";"37.398347";"879812883";"{type=Point, coordinates=[37.398347, 55.651349]}";
"15";"Государственное бюджетное учреждение культуры города Москвы «Центр культуры и досуга «Парк Новослободский»";"Центральный административный округ";"Тверской район";"город Москва, улица Сущёвский Вал, владение 10А, строение 1";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.791825";"37.597028";"879895175";"{type=Point, coordinates=[37.597028, 55.791825]}";
"16";"Государственное автономное учреждение культуры города Москвы «Культурный центр «Зеленоград»";"Зеленоградский административный округ";"район Силино";"город Москва, город Зеленоград, корпус 1006";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.984703";"37.175044";"879812885";"{type=Point, coordinates=[37.175044, 55.984703]}";
"17";"Государственное бюджетное учреждение культуры города Москвы «Дом культуры «Новокосино»";"Восточный административный округ";"район Новокосино";"город Москва, Городецкая улица, дом 10Б";"4";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.738530";"37.863917";"879812886";"{type=Point, coordinates=[37.863917, 55.73853]}";
"18";"Государственное бюджетное учреждение культуры города Москвы «Территориальная клубная система «Солнцево»";"Западный административный округ";"район Солнцево";"город Москва, Солнцевский проспект, дом 17/1";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.647991";"37.409298";"879812887";"{type=Point, coordinates=[37.409298, 55.647991]}";
"19";"Государственное бюджетное учреждение культуры города Москвы «Московский многофункциональный культурный центр»";"Северо-Восточный административный округ";"Бабушкинский район";"город Москва, улица Коминтерна, дом 11/7";"4";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.864505";"37.679179";"879895213";"{type=Point, coordinates=[37.679179, 55.864505]}";
"20";"Государственное бюджетное учреждение культуры города Москвы Центр культуры и искусства «Меридиан»";"Юго-Западный административный округ";"район Черёмушки";"город Москва, Профсоюзная улица, дом 61";"40";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.656697";"37.542500";"879895215";"{type=Point, coordinates=[37.5425, 55.656697]}";
"21";"Государственное бюджетное учреждение культуры города Москвы «Территориальная клубная система «Оптимист»";"Западный административный округ";"район Раменки";"город Москва, 1-й Сетуньский проезд, дом 16/2";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.733300";"37.538925";"879894711";"{type=Point, coordinates=[37.538925, 55.7333]}";
"22";"Государственное бюджетное учреждение культуры города Москвы «Территориальная клубная система «ФилиДавыдково»";"Западный административный округ";"район Фили-Давыдково";"город Москва, улица Олеко Дундича, дом 39, корпус 2";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.736914";"37.480633";"879894782";"{type=Point, coordinates=[37.480633, 55.736914]}";
"23";"Государственное бюджетное учреждение культуры города Москвы Центр искусств и творчества «Марьина Роща»";"Северо-Восточный административный округ";"район Марьина Роща";"город Москва, Октябрьская улица, дом 91, корпус 1";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.797442";"37.612272";"879812733";"{type=Point, coordinates=[37.612272, 55.797442]}";
"24";"Государственное бюджетное учреждение культуры города Москвы «Дом культуры «Нагатино»";"Южный административный округ";"район Нагатинский Затон";"город Москва, Судостроительная улица, дом 31, корпус 1";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.683386";"37.682359";"879894811";"{type=Point, coordinates=[37.682359, 55.683386]}";
"25";"Государственное бюджетное учреждение культуры города Москвы «Территориальная клубная система «Бригантина»";"Западный административный округ";"район Филёвский Парк";"город Москва, Кастанаевская улица, дом 26";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.738095";"37.489464";"879812737";"{type=Point, coordinates=[37.489464, 55.738095]}";
"26";"Государственное бюджетное учреждение культуры города Москвы «Территориальная клубная система «Спутник»";"Юго-Восточный административный округ";"Рязанский район";"город Москва, Яснополянская улица, дом 3, корпус 1";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.722036";"37.787498";"879812738";"{type=Point, coordinates=[37.787498, 55.722036]}";
