"ID";"global_id";"Name";"AdmArea";"District";"ParkName";"WiFiName";"CoverageArea";"FunctionFlag";"AccessFlag";"Password";"Longitude_WGS84";"Latitude_WGS84";"geoData";
"337";"46808732";"Точка доступа №337";"Юго-Восточный административный округ";"район Кузьминки";"Государственное автономное учреждение культуры города Москвы «Государственный историко-архитектурный и природно-ландшафтный музей-заповедник «Кузьминки-Люблино», Парк «Кузьминки»";"Moscow_WiFi_Free";"20";"действует";"открытая сеть";"";"37.769489";"55.69501";"{type=Point, coordinates=[37.769489, 55.69501]}";
"338";"46808734";"Точка доступа №338";"Юго-Восточный административный округ";"район Кузьминки";"Государственное автономное учреждение культуры города Москвы «Государственный историко-архитектурный и природно-ландшафтный музей-заповедник «Кузьминки-Люблино», Парк «Кузьминки»";"Moscow_WiFi_Free";"20";"действует";"открытая сеть";"";"37.768175";"55.695218";"{type=Point, coordinates=[37.768175, 55.695218]}";
"339";"46808736";"Точка доступа №339";"Юго-Восточный административный округ";"район Кузьминки";"Государственное автономное учреждение культуры города Москвы «Государственный историко-архитектурный и природно-ландшафтный музей-заповедник «Кузьминки-Люблино», Парк «Кузьминки»";"Moscow_WiFi_Free";"20";"действует";"открытая сеть";"";"37.768275";"55.695463";"{type=Point, coordinates=[37.768275, 55.695463]}";
"340";"46808738";"Точка доступа №340";"Юго-Восточный административный округ";"район Кузьминки";"Государственное автономное учреждение культуры города Москвы «Государственный историко-архитектурный и природно-ландшафтный музей-заповедник «Кузьминки-Люблино», Парк «Кузьминки»";"Moscow_WiFi_Free";"20";"действует";"открытая сеть";"";"37.769618";"55.695542";"{type=Point, coordinates=[37.769618, 55.695542]}";
"341";"46808740";"Точка доступа №341";"Юго-Восточный административный округ";"район Кузьминки";"Государственное автономное учреждение культуры города Москвы «Государственный историко-архитектурный и природно-ландшафтный музей-заповедник «Кузьминки-Люблино», Парк «Кузьминки»";"Moscow_WiFi_Free";"20";"действует";"открытая сеть";"";"37.769175";"55.695463";"{type=Point, coordinates=[37.769175, 55.695463]}";
"342";"46808742";"Точка доступа №342";"Юго-Восточный административный округ";"район Кузьминки";"Государственное автономное учреждение культуры города Москвы «Государственный историко-архитектурный и природно-ландшафтный музей-заповедник «Кузьминки-Люблино», Парк «Кузьминки»";"Moscow_WiFi_Free";"20";"действует";"открытая сеть";"";"37.768603";"55.694419";"{type=Point, coordinates=[37.768603, 55.694419]}";
"343";"46808744";"Точка доступа №343";"Юго-Восточный административный округ";"район Кузьминки";"Государственное автономное учреждение культуры города Москвы «Государственный историко-архитектурный и природно-ландшафтный музей-заповедник «Кузьминки-Люблино», Парк «Кузьминки»";"Moscow_WiFi_Free";"20";"действует";"открытая сеть";"";"37.768642";"55.695807";"{type=Point, coordinates=[37.768642, 55.695807]}";
"240";"46808938";"Точка доступа №240";"Северо-Восточный административный округ";"район Лианозово";"Государственное автономное учреждение культуры города Москвы «Лианозовский парк культуры и отдыха»";"Moscow_WiFi_Free";"20";"действует";"открытая сеть";"";"37.5692321";"55.899354";"{type=Point, coordinates=[37.5692321, 55.899354]}";
"241";"46808939";"Точка доступа №241";"Северо-Восточный административный округ";"район Лианозово";"Государственное автономное учреждение культуры города Москвы «Лианозовский парк культуры и отдыха»";"Moscow_WiFi_Free";"20";"действует";"открытая сеть";"";"37.572822";"55.900509";"{type=Point, coordinates=[37.572822, 55.900509]}";
"242";"46808941";"Точка доступа №242";"Северо-Восточный административный округ";"район Лианозово";"Государственное автономное учреждение культуры города Москвы «Лианозовский парк культуры и отдыха»";"Moscow_WiFi_Free";"20";"действует";"открытая сеть";"";"37.572348";"55.900094";"{type=Point, coordinates=[37.572348, 55.900094]}";
